"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1518","should not allow sign up with invalid email format","webkit","Sat Nov 29 09:17:05 UTC 2025","passed","Sat Nov 29 09:17:07 UTC 2025","User Sign Up","","",""
"","3106","should successfully add a product to cart","firefox","Sat Nov 29 09:15:06 UTC 2025","passed","Sat Nov 29 09:15:10 UTC 2025","Product and Cart functionality","","",""
"","2391","Verify login with valid credentials","chromium","Sat Nov 29 09:14:37 UTC 2025","passed","Sat Nov 29 09:14:40 UTC 2025","Verify login functionality","","",""
"","2708","should display correct quantity when adding same product multiple times","firefox","Sat Nov 29 09:15:18 UTC 2025","passed","Sat Nov 29 09:15:20 UTC 2025","Product and Cart functionality","","",""
"","3276","should display correct quantity when adding same product multiple times","webkit","Sat Nov 29 09:16:20 UTC 2025","passed","Sat Nov 29 09:16:23 UTC 2025","Product and Cart functionality","","",""
"","1840","should handle search with no results","chromium","Sat Nov 29 09:14:50 UTC 2025","passed","Sat Nov 29 09:14:52 UTC 2025","Search functionality","","",""
"","2326","should successfully add a product to cart","chromium","Sat Nov 29 09:14:22 UTC 2025","passed","Sat Nov 29 09:14:24 UTC 2025","Product and Cart functionality","","",""
"","4146","should successfully add multiple products to cart","webkit","Sat Nov 29 09:16:12 UTC 2025","passed","Sat Nov 29 09:16:16 UTC 2025","Product and Cart functionality","","",""
"","8211","should successfully complete checkout flow with payment","webkit","Sat Nov 29 09:16:23 UTC 2025","passed","Sat Nov 29 09:16:31 UTC 2025","Checkout Flow","","",""
"","2038","should find specific product when searching","chromium","Sat Nov 29 09:14:48 UTC 2025","passed","Sat Nov 29 09:14:50 UTC 2025","Search functionality","","",""
"","4004","should successfully remove a product from cart","firefox","Sat Nov 29 09:15:14 UTC 2025","passed","Sat Nov 29 09:15:18 UTC 2025","Product and Cart functionality","","",""
"","1776","Verify login with invalid password","chromium","Sat Nov 29 09:14:42 UTC 2025","passed","Sat Nov 29 09:14:43 UTC 2025","Verify login functionality","","",""
"","7647","should show error when trying to sign up with existing email","webkit","Sat Nov 29 09:16:58 UTC 2025","passed","Sat Nov 29 09:17:05 UTC 2025","User Sign Up","","",""
"","3370","Verify logout functionality","firefox","Sat Nov 29 09:15:38 UTC 2025","passed","Sat Nov 29 09:15:41 UTC 2025","Verify login functionality","","",""
"","2911","Verify login with invalid email","webkit","Sat Nov 29 09:16:35 UTC 2025","passed","Sat Nov 29 09:16:38 UTC 2025","Verify login functionality","","",""
"","2557","should successfully register a new user with complete information","firefox","Sat Nov 29 09:15:46 UTC 2025","passed","Sat Nov 29 09:15:49 UTC 2025","User Sign Up","","",""
"","858","should not allow sign up with empty name field","chromium","Sat Nov 29 09:15:01 UTC 2025","passed","Sat Nov 29 09:15:02 UTC 2025","User Sign Up","","",""
"","1743","should find specific product when searching","firefox","Sat Nov 29 09:15:43 UTC 2025","passed","Sat Nov 29 09:15:45 UTC 2025","Search functionality","","",""
"","1530","should successfully search for a product by name","chromium","Sat Nov 29 09:14:46 UTC 2025","passed","Sat Nov 29 09:14:48 UTC 2025","Search functionality","","",""
"","4147","Verify login with valid credentials","firefox","Sat Nov 29 09:15:28 UTC 2025","passed","Sat Nov 29 09:15:32 UTC 2025","Verify login functionality","","",""
"","1632","should successfully search for a product by name","firefox","Sat Nov 29 09:15:41 UTC 2025","passed","Sat Nov 29 09:15:43 UTC 2025","Search functionality","","",""
