"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9289","should show error when trying to sign up with existing email","webkit","Thu Nov 27 09:19:22 UTC 2025","passed","Thu Nov 27 09:19:32 UTC 2025","User Sign Up","","",""
"","2496","Verify login with invalid password","chromium","Thu Nov 27 09:16:44 UTC 2025","passed","Thu Nov 27 09:16:46 UTC 2025","Verify login functionality","","",""
"","1205","should not allow sign up with empty name field","firefox","Thu Nov 27 09:18:06 UTC 2025","passed","Thu Nov 27 09:18:07 UTC 2025","User Sign Up","","",""
"","3727","should successfully register a new user with complete information","firefox","Thu Nov 27 09:17:54 UTC 2025","passed","Thu Nov 27 09:17:58 UTC 2025","User Sign Up","","",""
"","6148","should successfully remove a product from cart","webkit","Thu Nov 27 09:18:34 UTC 2025","passed","Thu Nov 27 09:18:41 UTC 2025","Product and Cart functionality","","",""
"","2270","should handle search with no results","webkit","Thu Nov 27 09:19:16 UTC 2025","passed","Thu Nov 27 09:19:19 UTC 2025","Search functionality","","",""
"","1587","should find specific product when searching","chromium","Thu Nov 27 09:16:51 UTC 2025","passed","Thu Nov 27 09:16:53 UTC 2025","Search functionality","","",""
"","4447","should successfully remove a product from cart","firefox","Thu Nov 27 09:17:19 UTC 2025","passed","Thu Nov 27 09:17:23 UTC 2025","Product and Cart functionality","","",""
"","3045","Verify logout functionality","chromium","Thu Nov 27 09:16:46 UTC 2025","passed","Thu Nov 27 09:16:49 UTC 2025","Verify login functionality","","",""
"","2344","Verify login with invalid email","chromium","Thu Nov 27 09:16:41 UTC 2025","passed","Thu Nov 27 09:16:44 UTC 2025","Verify login functionality","","",""
"","749","should not allow sign up with invalid email format","chromium","Thu Nov 27 09:17:04 UTC 2025","passed","Thu Nov 27 09:17:05 UTC 2025","User Sign Up","","",""
"","2108","should handle search with no results","firefox","Thu Nov 27 09:17:52 UTC 2025","passed","Thu Nov 27 09:17:54 UTC 2025","Search functionality","","",""
"","7343","should show error when trying to sign up with existing email","firefox","Thu Nov 27 09:17:58 UTC 2025","passed","Thu Nov 27 09:18:05 UTC 2025","User Sign Up","","",""
"","3737","should successfully register a new user with complete information","webkit","Thu Nov 27 09:19:19 UTC 2025","passed","Thu Nov 27 09:19:22 UTC 2025","User Sign Up","","",""
"","3624","Verify logout functionality","firefox","Thu Nov 27 09:17:44 UTC 2025","passed","Thu Nov 27 09:17:47 UTC 2025","Verify login functionality","","",""
"","2690","Verify login with invalid password","firefox","Thu Nov 27 09:17:41 UTC 2025","passed","Thu Nov 27 09:17:44 UTC 2025","Verify login functionality","","",""
"","9164","should successfully complete checkout flow with payment","chromium","Thu Nov 27 09:16:29 UTC 2025","passed","Thu Nov 27 09:16:38 UTC 2025","Checkout Flow","","",""
"","2768","should successfully add multiple products to cart","chromium","Thu Nov 27 09:16:20 UTC 2025","passed","Thu Nov 27 09:16:23 UTC 2025","Product and Cart functionality","","",""
"","4992","should successfully search for a product by name","webkit","Thu Nov 27 09:19:08 UTC 2025","passed","Thu Nov 27 09:19:13 UTC 2025","Search functionality","","",""
"","2112","should find specific product when searching","firefox","Thu Nov 27 09:17:50 UTC 2025","passed","Thu Nov 27 09:17:52 UTC 2025","Search functionality","","",""
"","9235","should successfully add a product to cart","webkit","Thu Nov 27 09:18:15 UTC 2025","passed","Thu Nov 27 09:18:24 UTC 2025","Product and Cart functionality","","",""
"","3816","Verify login with valid credentials","webkit","Thu Nov 27 09:18:53 UTC 2025","passed","Thu Nov 27 09:18:57 UTC 2025","Verify login functionality","","",""
"","1039","should not allow sign up with empty name field","chromium","Thu Nov 27 09:17:05 UTC 2025","passed","Thu Nov 27 09:17:06 UTC 2025","User Sign Up","","",""
"","3233","Verify login with valid credentials","firefox","Thu Nov 27 09:17:35 UTC 2025","passed","Thu Nov 27 09:17:38 UTC 2025","Verify login functionality","","",""
"","2965","should successfully add multiple products to cart","firefox","Thu Nov 27 09:17:16 UTC 2025","passed","Thu Nov 27 09:17:18 UTC 2025","Product and Cart functionality","","",""
"","2435","should display correct quantity when adding same product multiple times","chromium","Thu Nov 27 09:16:26 UTC 2025","passed","Thu Nov 27 09:16:29 UTC 2025","Product and Cart functionality","","",""
"","9305","should successfully add multiple products to cart","webkit","Thu Nov 27 09:18:25 UTC 2025","passed","Thu Nov 27 09:18:34 UTC 2025","Product and Cart functionality","","",""
"","3510","should successfully register a new user with complete information","chromium","Thu Nov 27 09:16:54 UTC 2025","passed","Thu Nov 27 09:16:58 UTC 2025","User Sign Up","","",""
"","3157","should successfully remove a product from cart","chromium","Thu Nov 27 09:16:23 UTC 2025","passed","Thu Nov 27 09:16:26 UTC 2025","Product and Cart functionality","","",""
"","4602","Verify logout functionality","webkit","Thu Nov 27 09:19:03 UTC 2025","passed","Thu Nov 27 09:19:08 UTC 2025","Verify login functionality","","",""
"","3483","Verify login with valid credentials","chromium","Thu Nov 27 09:16:38 UTC 2025","passed","Thu Nov 27 09:16:41 UTC 2025","Verify login functionality","","",""
"","3229","should find specific product when searching","webkit","Thu Nov 27 09:19:13 UTC 2025","passed","Thu Nov 27 09:19:16 UTC 2025","Search functionality","","",""
"","3364","should display correct quantity when adding same product multiple times","webkit","Thu Nov 27 09:18:41 UTC 2025","passed","Thu Nov 27 09:18:44 UTC 2025","Product and Cart functionality","","",""
"","1427","should not allow sign up with empty name field","webkit","Thu Nov 27 09:19:33 UTC 2025","passed","Thu Nov 27 09:19:35 UTC 2025","User Sign Up","","",""
"","1711","should not allow sign up with invalid email format","webkit","Thu Nov 27 09:19:32 UTC 2025","passed","Thu Nov 27 09:19:33 UTC 2025","User Sign Up","","",""
"","3536","Verify login with invalid password","webkit","Thu Nov 27 09:19:00 UTC 2025","passed","Thu Nov 27 09:19:03 UTC 2025","Verify login functionality","","",""
"","2932","Verify login with invalid email","webkit","Thu Nov 27 09:18:57 UTC 2025","passed","Thu Nov 27 09:19:00 UTC 2025","Verify login functionality","","",""
"","8506","should successfully complete checkout flow with payment","firefox","Thu Nov 27 09:17:26 UTC 2025","passed","Thu Nov 27 09:17:35 UTC 2025","Checkout Flow","","",""
"","6367","should show error when trying to sign up with existing email","chromium","Thu Nov 27 09:16:58 UTC 2025","passed","Thu Nov 27 09:17:04 UTC 2025","User Sign Up","","",""
"","6394","should successfully delete a user account","firefox","Thu Nov 27 09:18:07 UTC 2025","passed","Thu Nov 27 09:18:14 UTC 2025","User Sign Up","","",""
"","8991","should successfully complete checkout flow with payment","webkit","Thu Nov 27 09:18:44 UTC 2025","passed","Thu Nov 27 09:18:53 UTC 2025","Checkout Flow","","",""
"","2429","should successfully add a product to cart","chromium","Thu Nov 27 09:16:17 UTC 2025","passed","Thu Nov 27 09:16:19 UTC 2025","Product and Cart functionality","","",""
"","1859","should successfully search for a product by name","chromium","Thu Nov 27 09:16:49 UTC 2025","passed","Thu Nov 27 09:16:51 UTC 2025","Search functionality","","",""
"","3229","should successfully add a product to cart","firefox","Thu Nov 27 09:17:12 UTC 2025","passed","Thu Nov 27 09:17:15 UTC 2025","Product and Cart functionality","","",""
"","8398","should successfully delete a user account","webkit","Thu Nov 27 09:19:35 UTC 2025","passed","Thu Nov 27 09:19:43 UTC 2025","User Sign Up","","",""
"","1198","should not allow sign up with invalid email format","firefox","Thu Nov 27 09:18:05 UTC 2025","passed","Thu Nov 27 09:18:06 UTC 2025","User Sign Up","","",""
"","3008","Verify login with invalid email","firefox","Thu Nov 27 09:17:38 UTC 2025","passed","Thu Nov 27 09:17:41 UTC 2025","Verify login functionality","","",""
"","4833","should successfully delete a user account","chromium","Thu Nov 27 09:17:06 UTC 2025","passed","Thu Nov 27 09:17:11 UTC 2025","User Sign Up","","",""
"","2126","should successfully search for a product by name","firefox","Thu Nov 27 09:17:47 UTC 2025","passed","Thu Nov 27 09:17:50 UTC 2025","Search functionality","","",""
"","1742","should handle search with no results","chromium","Thu Nov 27 09:16:53 UTC 2025","passed","Thu Nov 27 09:16:54 UTC 2025","Search functionality","","",""
"","3329","should display correct quantity when adding same product multiple times","firefox","Thu Nov 27 09:17:23 UTC 2025","passed","Thu Nov 27 09:17:26 UTC 2025","Product and Cart functionality","","",""
