"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3144","should successfully add a product to cart","firefox","Tue Nov 25 08:47:19 UTC 2025","passed","Tue Nov 25 08:47:22 UTC 2025","Product and Cart functionality","","",""
"","2490","Verify login with invalid email","firefox","Tue Nov 25 08:47:43 UTC 2025","passed","Tue Nov 25 08:47:45 UTC 2025","Verify login functionality","","",""
"","5554","should successfully delete a user account","firefox","Tue Nov 25 08:48:09 UTC 2025","passed","Tue Nov 25 08:48:14 UTC 2025","User Sign Up","","",""
"","2681","should display correct quantity when adding same product multiple times","firefox","Tue Nov 25 08:47:29 UTC 2025","passed","Tue Nov 25 08:47:32 UTC 2025","Product and Cart functionality","","",""
"","2652","should successfully remove a product from cart","chromium","Tue Nov 25 08:46:34 UTC 2025","passed","Tue Nov 25 08:46:37 UTC 2025","Product and Cart functionality","","",""
"","2672","should find specific product when searching","webkit","Tue Nov 25 08:49:10 UTC 2025","passed","Tue Nov 25 08:49:13 UTC 2025","Search functionality","","",""
"","1485","should not allow sign up with invalid email format","webkit","Tue Nov 25 08:49:28 UTC 2025","passed","Tue Nov 25 08:49:30 UTC 2025","User Sign Up","","",""
"","874","should not allow sign up with invalid email format","chromium","Tue Nov 25 08:47:12 UTC 2025","passed","Tue Nov 25 08:47:13 UTC 2025","User Sign Up","","",""
"","1860","should find specific product when searching","firefox","Tue Nov 25 08:47:53 UTC 2025","passed","Tue Nov 25 08:47:55 UTC 2025","Search functionality","","",""
"","3669","Verify logout functionality","webkit","Tue Nov 25 08:49:00 UTC 2025","passed","Tue Nov 25 08:49:03 UTC 2025","Verify login functionality","","",""
"","2825","Verify login with valid credentials","firefox","Tue Nov 25 08:47:40 UTC 2025","passed","Tue Nov 25 08:47:43 UTC 2025","Verify login functionality","","",""
"","3587","should successfully remove a product from cart","firefox","Tue Nov 25 08:47:26 UTC 2025","passed","Tue Nov 25 08:47:29 UTC 2025","Product and Cart functionality","","",""
"","8862","should successfully complete checkout flow with payment","webkit","Tue Nov 25 08:48:40 UTC 2025","passed","Tue Nov 25 08:48:48 UTC 2025","Checkout Flow","","",""
"","10505","should successfully add a product to cart","webkit","Tue Nov 25 08:48:16 UTC 2025","passed","Tue Nov 25 08:48:26 UTC 2025","Product and Cart functionality","","",""
"","3228","Verify logout functionality","chromium","Tue Nov 25 08:46:55 UTC 2025","passed","Tue Nov 25 08:46:58 UTC 2025","Verify login functionality","","",""
"","7896","should successfully complete checkout flow with payment","firefox","Tue Nov 25 08:47:32 UTC 2025","passed","Tue Nov 25 08:47:40 UTC 2025","Checkout Flow","","",""
"","8327","should show error when trying to sign up with existing email","webkit","Tue Nov 25 08:49:20 UTC 2025","passed","Tue Nov 25 08:49:28 UTC 2025","User Sign Up","","",""
"","4576","should successfully register a new user with complete information","webkit","Tue Nov 25 08:49:15 UTC 2025","passed","Tue Nov 25 08:49:20 UTC 2025","User Sign Up","","",""
"","3219","Verify login with invalid email","webkit","Tue Nov 25 08:48:53 UTC 2025","passed","Tue Nov 25 08:48:56 UTC 2025","Verify login functionality","","",""
"","6782","should show error when trying to sign up with existing email","firefox","Tue Nov 25 08:47:59 UTC 2025","passed","Tue Nov 25 08:48:06 UTC 2025","User Sign Up","","",""
"","2327","Verify login with invalid password","firefox","Tue Nov 25 08:47:45 UTC 2025","passed","Tue Nov 25 08:47:48 UTC 2025","Verify login functionality","","",""
"","2685","should successfully add a product to cart","chromium","Tue Nov 25 08:46:27 UTC 2025","passed","Tue Nov 25 08:46:30 UTC 2025","Product and Cart functionality","","",""
"","1699","should successfully search for a product by name","firefox","Tue Nov 25 08:47:51 UTC 2025","passed","Tue Nov 25 08:47:53 UTC 2025","Search functionality","","",""
"","1439","should not allow sign up with invalid email format","firefox","Tue Nov 25 08:48:06 UTC 2025","passed","Tue Nov 25 08:48:08 UTC 2025","User Sign Up","","",""
"","2199","Verify login with invalid email","chromium","Tue Nov 25 08:46:50 UTC 2025","passed","Tue Nov 25 08:46:52 UTC 2025","Verify login functionality","","",""
"","4807","should successfully add multiple products to cart","webkit","Tue Nov 25 08:48:27 UTC 2025","passed","Tue Nov 25 08:48:32 UTC 2025","Product and Cart functionality","","",""
"","2793","should display correct quantity when adding same product multiple times","chromium","Tue Nov 25 08:46:37 UTC 2025","passed","Tue Nov 25 08:46:40 UTC 2025","Product and Cart functionality","","",""
"","1991","should handle search with no results","webkit","Tue Nov 25 08:49:13 UTC 2025","passed","Tue Nov 25 08:49:15 UTC 2025","Search functionality","","",""
"","698","should not allow sign up with empty name field","chromium","Tue Nov 25 08:47:13 UTC 2025","passed","Tue Nov 25 08:47:14 UTC 2025","User Sign Up","","",""
"","4548","Verify login with valid credentials","webkit","Tue Nov 25 08:48:48 UTC 2025","passed","Tue Nov 25 08:48:53 UTC 2025","Verify login functionality","","",""
"","1637","should successfully search for a product by name","chromium","Tue Nov 25 08:46:58 UTC 2025","passed","Tue Nov 25 08:47:00 UTC 2025","Search functionality","","",""
"","5665","should show error when trying to sign up with existing email","chromium","Tue Nov 25 08:47:06 UTC 2025","passed","Tue Nov 25 08:47:12 UTC 2025","User Sign Up","","",""
"","3813","should successfully remove a product from cart","webkit","Tue Nov 25 08:48:32 UTC 2025","passed","Tue Nov 25 08:48:36 UTC 2025","Product and Cart functionality","","",""
"","3427","Verify logout functionality","firefox","Tue Nov 25 08:47:48 UTC 2025","passed","Tue Nov 25 08:47:51 UTC 2025","Verify login functionality","","",""
"","1171","should not allow sign up with empty name field","firefox","Tue Nov 25 08:48:08 UTC 2025","passed","Tue Nov 25 08:48:09 UTC 2025","User Sign Up","","",""
"","2624","should successfully add multiple products to cart","chromium","Tue Nov 25 08:46:32 UTC 2025","passed","Tue Nov 25 08:46:34 UTC 2025","Product and Cart functionality","","",""
"","3512","Verify login with invalid password","webkit","Tue Nov 25 08:48:56 UTC 2025","passed","Tue Nov 25 08:49:00 UTC 2025","Verify login functionality","","",""
"","7935","should successfully complete checkout flow with payment","chromium","Tue Nov 25 08:46:40 UTC 2025","passed","Tue Nov 25 08:46:48 UTC 2025","Checkout Flow","","",""
"","2828","should successfully register a new user with complete information","firefox","Tue Nov 25 08:47:56 UTC 2025","passed","Tue Nov 25 08:47:59 UTC 2025","User Sign Up","","",""
"","1208","should not allow sign up with empty name field","webkit","Tue Nov 25 08:49:30 UTC 2025","passed","Tue Nov 25 08:49:31 UTC 2025","User Sign Up","","",""
"","3171","should successfully register a new user with complete information","chromium","Tue Nov 25 08:47:03 UTC 2025","passed","Tue Nov 25 08:47:06 UTC 2025","User Sign Up","","",""
"","3553","should successfully search for a product by name","webkit","Tue Nov 25 08:49:07 UTC 2025","passed","Tue Nov 25 08:49:10 UTC 2025","Search functionality","","",""
"","2412","Verify login with valid credentials","chromium","Tue Nov 25 08:46:48 UTC 2025","passed","Tue Nov 25 08:46:50 UTC 2025","Verify login functionality","","",""
"","3573","should display correct quantity when adding same product multiple times","webkit","Tue Nov 25 08:48:36 UTC 2025","passed","Tue Nov 25 08:48:40 UTC 2025","Product and Cart functionality","","",""
"","7135","should successfully delete a user account","webkit","Tue Nov 25 08:49:31 UTC 2025","passed","Tue Nov 25 08:49:38 UTC 2025","User Sign Up","","",""
"","4651","should successfully delete a user account","chromium","Tue Nov 25 08:47:14 UTC 2025","passed","Tue Nov 25 08:47:18 UTC 2025","User Sign Up","","",""
"","1591","should handle search with no results","firefox","Tue Nov 25 08:47:55 UTC 2025","passed","Tue Nov 25 08:47:56 UTC 2025","Search functionality","","",""
