"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3525","should display correct quantity when adding same product multiple times","webkit","Thu Nov 27 10:32:31 UTC 2025","passed","Thu Nov 27 10:32:34 UTC 2025","Product and Cart functionality","","",""
"","1444","should not allow sign up with empty name field","webkit","Thu Nov 27 10:33:17 UTC 2025","passed","Thu Nov 27 10:33:19 UTC 2025","User Sign Up","","",""
"","2314","should successfully remove a product from cart","chromium","Thu Nov 27 10:30:46 UTC 2025","passed","Thu Nov 27 10:30:49 UTC 2025","Product and Cart functionality","","",""
"","2924","should successfully register a new user with complete information","firefox","Thu Nov 27 10:31:57 UTC 2025","passed","Thu Nov 27 10:32:00 UTC 2025","User Sign Up","","",""
"","4213","should successfully remove a product from cart","webkit","Thu Nov 27 10:32:26 UTC 2025","passed","Thu Nov 27 10:32:30 UTC 2025","Product and Cart functionality","","",""
"","2448","Verify login with invalid email","webkit","Thu Nov 27 10:32:47 UTC 2025","passed","Thu Nov 27 10:32:49 UTC 2025","Verify login functionality","","",""
"","2988","should successfully add a product to cart","firefox","Thu Nov 27 10:31:22 UTC 2025","passed","Thu Nov 27 10:31:25 UTC 2025","Product and Cart functionality","","",""
"","1213","should not allow sign up with invalid email format","firefox","Thu Nov 27 10:32:06 UTC 2025","passed","Thu Nov 27 10:32:07 UTC 2025","User Sign Up","","",""
"","7350","should successfully complete checkout flow with payment","firefox","Thu Nov 27 10:31:34 UTC 2025","passed","Thu Nov 27 10:31:42 UTC 2025","Checkout Flow","","",""
"","1338","should successfully search for a product by name","chromium","Thu Nov 27 10:31:05 UTC 2025","passed","Thu Nov 27 10:31:07 UTC 2025","Search functionality","","",""
"","1617","should not allow sign up with invalid email format","webkit","Thu Nov 27 10:33:15 UTC 2025","passed","Thu Nov 27 10:33:17 UTC 2025","User Sign Up","","",""
"","2903","should successfully add multiple products to cart","firefox","Thu Nov 27 10:31:26 UTC 2025","passed","Thu Nov 27 10:31:28 UTC 2025","Product and Cart functionality","","",""
"","2109","Verify login with invalid password","firefox","Thu Nov 27 10:31:46 UTC 2025","passed","Thu Nov 27 10:31:48 UTC 2025","Verify login functionality","","",""
"","7631","should successfully add a product to cart","webkit","Thu Nov 27 10:32:14 UTC 2025","passed","Thu Nov 27 10:32:21 UTC 2025","Product and Cart functionality","","",""
"","2422","should find specific product when searching","webkit","Thu Nov 27 10:32:58 UTC 2025","passed","Thu Nov 27 10:33:01 UTC 2025","Search functionality","","",""
"","3720","should successfully delete a user account","firefox","Thu Nov 27 10:32:09 UTC 2025","passed","Thu Nov 27 10:32:12 UTC 2025","User Sign Up","","",""
"","7112","should successfully delete a user account","webkit","Thu Nov 27 10:33:29 UTC 2025","passed","Thu Nov 27 10:33:37 UTC 2025","User Sign Up","","",""
"","1895","should find specific product when searching","firefox","Thu Nov 27 10:31:53 UTC 2025","passed","Thu Nov 27 10:31:55 UTC 2025","Search functionality","","",""
"","4186","should successfully add multiple products to cart","webkit","Thu Nov 27 10:32:22 UTC 2025","passed","Thu Nov 27 10:32:26 UTC 2025","Product and Cart functionality","","",""
"","2675","Verify logout functionality","chromium","Thu Nov 27 10:31:02 UTC 2025","passed","Thu Nov 27 10:31:05 UTC 2025","Verify login functionality","","",""
"","6060","should show error when trying to sign up with existing email","firefox","Thu Nov 27 10:32:00 UTC 2025","passed","Thu Nov 27 10:32:06 UTC 2025","User Sign Up","","",""
